('40.071381', '-105.22978')
('40.071258', '-105.22998')
('40.071258', '-105.22998')
('40.071258', '-105.22998')
('40.071258', '-105.22998')
('40.071258', '-105.22999')
('40.071258', '-105.22999')
('40.071258', '-105.22999')
('40.071258', '-105.22999')
('40.071258', '-105.22999')
('40.071258', '-105.22999')
('40.071258', '-105.22999')
('40.071258', '-105.22999')
('40.071258', '-105.22999')
('40.071258', '-105.22999')
('40.071258', '-105.23000')
('40.071258', '-105.23000')
('40.071258', '-105.23000')
('40.071258', '-105.23000')
('40.071258', '-105.23000')
('40.071258', '-105.23000')
('40.071258', '-105.23000')
('40.071258', '-105.23000')
('40.071258', '-105.23000')
('40.071258', '-105.23000')
('40.071258', '-105.23001')
('40.071258', '-105.23001')
('40.071258', '-105.23001')
('40.071258', '-105.23001')
('40.071258', '-105.23001')
('40.071258', '-105.23001')
('40.071258', '-105.23001')
('40.071258', '-105.23001')
('40.071258', '-105.23001')
('40.071259', '-105.23002')
('40.071258', '-105.23002')
('40.071257', '-105.23002')
('40.071256', '-105.23002')
('40.071255', '-105.23002')
('40.071254', '-105.23002')
('40.071253', '-105.23002')
('40.071252', '-105.23002')
('40.071251', '-105.23002')
('40.071250', '-105.23002')
('40.071249', '-105.23002')
('40.071248', '-105.23002')
('40.071247', '-105.23002')
('40.071246', '-105.23002')
('40.071245', '-105.23002')
('40.071244', '-105.23002')
('40.071243', '-105.23002')
('40.071242', '-105.23002')
('40.071241', '-105.23002')
('40.071240', '-105.23002')
('40.071239', '-105.23002')
('40.071238', '-105.23002')
('40.071237', '-105.23002')
('40.071236', '-105.23002')
('40.071235', '-105.23002')
('40.071234', '-105.23002')
('40.071233', '-105.23002')
('40.071232', '-105.23002')
('40.071231', '-105.23002')
('40.071230', '-105.23002')
('40.071229', '-105.23002')
('40.071228', '-105.23002')
('40.071227', '-105.23002')
('40.071226', '-105.23002')
('40.071225', '-105.23002')
('40.071224', '-105.23002')
('40.071223', '-105.23002')
('40.071222', '-105.23002')
('40.071221', '-105.23002')
('40.071220', '-105.23002')
('40.071219', '-105.23002')
('40.071218', '-105.23002')
('40.071217', '-105.23002')
('40.071216', '-105.23002')
('40.071215', '-105.23002')
('40.071214', '-105.23002')
('40.071213', '-105.23002')
('40.071212', '-105.23002')
('40.071211', '-105.23002')
('40.071210', '-105.23002')
('40.071209', '-105.23002')
('40.071208', '-105.23002')
('40.071207', '-105.23002')
('40.071206', '-105.23002')
('40.071205', '-105.23002')
('40.071204', '-105.23002')
('40.071203', '-105.23002')
('40.071202', '-105.23002')
('40.071201', '-105.23002')
('40.071200', '-105.23002')
('40.071199', '-105.23002')
('40.071198', '-105.23002')
('40.071197', '-105.23002')
('40.071196', '-105.23002')
('40.071195', '-105.23002')
('40.071194', '-105.23002')
('40.071193', '-105.23002')
('40.071192', '-105.23002')
('40.071191', '-105.23002')
('40.071190', '-105.23002')
('40.071189', '-105.23002')
('40.071188', '-105.23002')
('40.071187', '-105.23002')
('40.071186', '-105.23002')
('40.071185', '-105.23002')
('40.071184', '-105.23002')
('40.071183', '-105.23002')
('40.071182', '-105.23002')
('40.071181', '-105.23002')
('40.071180', '-105.23002')
('40.071179', '-105.23002')
('40.071178', '-105.23002')
('40.071177', '-105.23002')
('40.071176', '-105.23002')
('40.071175', '-105.23002')
('40.071174', '-105.23002')
('40.071173', '-105.23002')
('40.071172', '-105.23002')
('40.071171', '-105.23002')
('40.071170', '-105.23002')
('40.071169', '-105.23002')
('40.071168', '-105.23002')
('40.071167', '-105.23002')
('40.071166', '-105.23002')
('40.071165', '-105.23002')
('40.071164', '-105.23002')
('40.071163', '-105.23002')
('40.071162', '-105.23002')
('40.071161', '-105.23002')
('40.071160', '-105.23002')
('40.071159', '-105.23002')
('40.071158', '-105.23002')
('40.071157', '-105.23002')
('40.071156', '-105.23002')
('40.071155', '-105.23002')
('40.071154', '-105.23002')
('40.071153', '-105.23002')
('40.071152', '-105.23002')
('40.071151', '-105.23002')
('40.071150', '-105.23002')
('40.071149', '-105.23002')
('40.071148', '-105.23002')
('40.071147', '-105.23002')
('40.071146', '-105.23002')
('40.071145', '-105.23002')
('40.071144', '-105.23002')
('40.071143', '-105.23002')
('40.071142', '-105.23002')
('40.071141', '-105.23002')
('40.071140', '-105.23002')
('40.071139', '-105.23002')
('40.071138', '-105.23002')
('40.071137', '-105.23002')
('40.071136', '-105.23002')
('40.071135', '-105.23002')
('40.071134', '-105.23002')
('40.071133', '-105.23002')
('40.071132', '-105.23002')
('40.071131', '-105.23002')
('40.071130', '-105.23002')
('40.071129', '-105.23002')
('40.071128', '-105.23002')
('40.071127', '-105.23002')
('40.071126', '-105.23002')
('40.071125', '-105.23002')
('40.071124', '-105.23002')
('40.071123', '-105.23002')
('40.071122', '-105.23002')
('40.071121', '-105.23002')
('40.071120', '-105.23002')
('40.071119', '-105.23002')
('40.071118', '-105.23002')
('40.071117', '-105.23002')
('40.071116', '-105.23002')
('40.071115', '-105.23002')
('40.071114', '-105.23002')
('40.071113', '-105.23002')
('40.071112', '-105.23002')
('40.071111', '-105.23002')
('40.071110', '-105.23002')
('40.071109', '-105.23002')
('40.071108', '-105.23002')
('40.071107', '-105.23002')
('40.071106', '-105.23002')
('40.071105', '-105.23002')
('40.071104', '-105.23002')
('40.071103', '-105.23002')
('40.071102', '-105.23002')
('40.071101', '-105.23002')
('40.071100', '-105.23002')
('40.071099', '-105.23002')
('40.071098', '-105.23002')
('40.071097', '-105.23002')
('40.071096', '-105.23002')
('40.071095', '-105.23002')
('40.071094', '-105.23002')
('40.071093', '-105.23002')
('40.071092', '-105.23002')
('40.071091', '-105.23002')
('40.071090', '-105.23002')
('40.071089', '-105.23002')
('40.071088', '-105.23002')
('40.071087', '-105.23002')
('40.071086', '-105.23002')
('40.071085', '-105.23002')
('40.071084', '-105.23002')
('40.071083', '-105.23002')
('40.071082', '-105.23002')
('40.071081', '-105.23002')
('40.071080', '-105.23002')
('40.071079', '-105.23002')
('40.071078', '-105.23002')
('40.071077', '-105.23002')
('40.071076', '-105.23002')
('40.071075', '-105.23002')
('40.071074', '-105.23002')
('40.071073', '-105.23002')
('40.071072', '-105.23002')
('40.071071', '-105.23002')
('40.071070', '-105.23002')
('40.071069', '-105.23002')
('40.071068', '-105.23002')
('40.071067', '-105.23002')
('40.071066', '-105.23002')
('40.071065', '-105.23002')
('40.071064', '-105.23002')
('40.071063', '-105.23002')
('40.071062', '-105.23002')
('40.071061', '-105.23002')
('40.071060', '-105.23002')
('40.071059', '-105.23002')
('40.071058', '-105.23002')
('40.071057', '-105.23002')
('40.071056', '-105.23002')
('40.071055', '-105.23002')
('40.071054', '-105.23002')
('40.071053', '-105.23002')
('40.071052', '-105.23002')
('40.071051', '-105.23002')
('40.071050', '-105.23002')
('40.071049', '-105.23002')
('40.071048', '-105.23002')
('40.071047', '-105.23002')
('40.071046', '-105.23002')
('40.071045', '-105.23002')
('40.071044', '-105.23002')
('40.071043', '-105.23002')
('40.071042', '-105.23002')
('40.071041', '-105.23002')
('40.071040', '-105.23002')
('40.071039', '-105.23002')
('40.071038', '-105.23002')
('40.071037', '-105.23002')
('40.071036', '-105.23002')
('40.071035', '-105.23002')
('40.071034', '-105.23002')
('40.071033', '-105.23002')
('40.071032', '-105.23002')
('40.071031', '-105.23002')
('40.071030', '-105.23002')
('40.071029', '-105.23002')
('40.071028', '-105.23002')
('40.071027', '-105.23002')
('40.071026', '-105.23002')
('40.071025', '-105.23002')
('40.071024', '-105.23002')
('40.071023', '-105.23002')
('40.071022', '-105.23002')
('40.071021', '-105.23002')
('40.071020', '-105.23002')
('40.071019', '-105.23002')
('40.071018', '-105.23002')
('40.071017', '-105.23002')
('40.071016', '-105.23002')
('40.071015', '-105.23002')
('40.071014', '-105.23002')
('40.071013', '-105.23002')
('40.071012', '-105.23002')
('40.071011', '-105.23002')
('40.071010', '-105.23002')
('40.071009', '-105.23002')
('40.071008', '-105.23002')
('40.071007', '-105.23002')
('40.071006', '-105.23002')
('40.071005', '-105.23002')
('40.071004', '-105.23002')
('40.071003', '-105.23002')
('40.071002', '-105.23002')
('40.071001', '-105.23002')
('40.071000', '-105.23002')
('40.070999', '-105.23002')
('40.070998', '-105.23002')
('40.070997', '-105.23002')
('40.070996', '-105.23002')
('40.070995', '-105.23002')
('40.070994', '-105.23002')
('40.070993', '-105.23002')
('40.070992', '-105.23002')
('40.070991', '-105.23002')
('40.070990', '-105.23002')
('40.070989', '-105.23002')
('40.070988', '-105.23002')
('40.070987', '-105.23002')
('40.070986', '-105.23002')
('40.070985', '-105.23002')
('40.070984', '-105.23002')
('40.070983', '-105.23002')
('40.070982', '-105.23002')
('40.070981', '-105.23002')
('40.070980', '-105.23002')
('40.070979', '-105.23002')
('40.070978', '-105.23002')
('40.070977', '-105.23002')
('40.070976', '-105.23002')
('40.070975', '-105.23002')
('40.070974', '-105.23002')
('40.070973', '-105.23002')
('40.070972', '-105.23002')
('40.070971', '-105.23002')
('40.070970', '-105.23002')
('40.070969', '-105.23002')
('40.070968', '-105.23002')
('40.070967', '-105.23002')
('40.070966', '-105.23002')
('40.070965', '-105.23002')
('40.070964', '-105.23002')
('40.070963', '-105.23002')
('40.070962', '-105.23002')
('40.070961', '-105.23002')
('40.070960', '-105.23002')
('40.070959', '-105.23002')
('40.070958', '-105.23002')
('40.070957', '-105.23002')
('40.070956', '-105.23002')
('40.070955', '-105.23002')
('40.070954', '-105.23002')
('40.070953', '-105.23002')
('40.070952', '-105.23002')
('40.070951', '-105.23002')
('40.070950', '-105.23002')
('40.070949', '-105.23002')
('40.070948', '-105.23002')
('40.070947', '-105.23002')
('40.070946', '-105.23002')
('40.070945', '-105.23002')
('40.070944', '-105.23002')
('40.070943', '-105.23002')
('40.070942', '-105.23002')
('40.070941', '-105.23002')
('40.070940', '-105.23002')
('40.070939', '-105.23002')
('40.070938', '-105.23002')
('40.070937', '-105.23002')
('40.070936', '-105.23002')
('40.070935', '-105.23002')
('40.070934', '-105.23002')
('40.070933', '-105.23002')
('40.070932', '-105.23002')
('40.070931', '-105.23002')
('40.070930', '-105.23002')
('40.070929', '-105.23002')
('40.070928', '-105.23002')
('40.070927', '-105.23002')
('40.070926', '-105.23002')
('40.070925', '-105.23002')
('40.070924', '-105.23002')
('40.070923', '-105.23002')
('40.070922', '-105.23002')
('40.070921', '-105.23002')
('40.070920', '-105.23002')
('40.070919', '-105.23002')
('40.070918', '-105.23002')
('40.070917', '-105.23002')
('40.070916', '-105.23002')
('40.070915', '-105.23002')
('40.070914', '-105.23002')
('40.070913', '-105.23002')
('40.070912', '-105.23002')
('40.070911', '-105.23002')
('40.070910', '-105.23002')
('40.070909', '-105.23002')
('40.070908', '-105.23002')
('40.070907', '-105.23002')
('40.070906', '-105.23002')
('40.070905', '-105.23002')
('40.070904', '-105.23002')
('40.070903', '-105.23002')
('40.070902', '-105.23002')
('40.070901', '-105.23002')
('40.070900', '-105.23002')
('40.070899', '-105.23002')
('40.070898', '-105.23002')
('40.070897', '-105.23002')
('40.070896', '-105.23002')
('40.070895', '-105.23002')
('40.070894', '-105.23002')
('40.070893', '-105.23002')
('40.070892', '-105.23002')
('40.070891', '-105.23002')
('40.070890', '-105.23002')
('40.070889', '-105.23002')
('40.070888', '-105.23002')
('40.070887', '-105.23002')
('40.070886', '-105.23002')
('40.070885', '-105.23002')
('40.070884', '-105.23002')
('40.070883', '-105.23002')
('40.070882', '-105.23002')
('40.070881', '-105.23002')
('40.070880', '-105.23002')
('40.070879', '-105.23002')
('40.070878', '-105.23002')
('40.070877', '-105.23002')
('40.070876', '-105.23002')
('40.070875', '-105.23002')
('40.070874', '-105.23002')
('40.070873', '-105.23002')
('40.070872', '-105.23002')
('40.070871', '-105.23002')
('40.070870', '-105.23002')
('40.070869', '-105.23002')
('40.070868', '-105.23002')
('40.070867', '-105.23002')
('40.070866', '-105.23002')
('40.070865', '-105.23002')
('40.070864', '-105.23002')
('40.070863', '-105.23002')
('40.070862', '-105.23002')
('40.070861', '-105.23002')
('40.070860', '-105.23002')
('40.070859', '-105.23002')
('40.070858', '-105.23002')
('40.070857', '-105.23002')
('40.070856', '-105.23002')
('40.070855', '-105.23002')
('40.070854', '-105.23002')
('40.070853', '-105.23002')
('40.070852', '-105.23002')
('40.070851', '-105.23002')
('40.070850', '-105.23002')
('40.070849', '-105.23002')
('40.070848', '-105.23002')
('40.070847', '-105.23002')
('40.070846', '-105.23002')
('40.070845', '-105.23002')
('40.070844', '-105.23002')
('40.070843', '-105.23002')
('40.070842', '-105.23002')
('40.070841', '-105.23002')
('40.070840', '-105.23002')
('40.070839', '-105.23002')
('40.070838', '-105.23002')
('40.070837', '-105.23002')
('40.070836', '-105.23002')
('40.070835', '-105.23002')
('40.070834', '-105.23002')
('40.070833', '-105.23002')
('40.070832', '-105.23002')
('40.070831', '-105.23002')
('40.070830', '-105.23002')
('40.070829', '-105.23002')
('40.070828', '-105.23002')
('40.070827', '-105.23002')
('40.070826', '-105.23002')
('40.070825', '-105.23002')
('40.070824', '-105.23002')
('40.070823', '-105.23002')
('40.070822', '-105.23002')
('40.070821', '-105.23002')
('40.070820', '-105.23002')
('40.070819', '-105.23002')
('40.070818', '-105.23002')
('40.070817', '-105.23002')
('40.070816', '-105.23002')
('40.070815', '-105.23002')
('40.070814', '-105.23002')
('40.070813', '-105.23002')
('40.070812', '-105.23002')
('40.070811', '-105.23002')
('40.070810', '-105.23002')
('40.070809', '-105.23002')
('40.070808', '-105.23002')
('40.070807', '-105.23002')
('40.070806', '-105.23002')
('40.070805', '-105.23002')
('40.070804', '-105.23002')
('40.070803', '-105.23002')
('40.070802', '-105.23002')
('40.070801', '-105.23002')
('40.070800', '-105.23002')
('40.070799', '-105.23002')
('40.070798', '-105.23002')
('40.070797', '-105.23002')
('40.070796', '-105.23002')
('40.070795', '-105.23002')
('40.070794', '-105.23002')
('40.070793', '-105.23002')
('40.070792', '-105.23002')
('40.070791', '-105.23002')
('40.070790', '-105.23002')
('40.070789', '-105.23002')
('40.070788', '-105.23002')
('40.070787', '-105.23002')
('40.070786', '-105.23002')
('40.070785', '-105.23002')
('40.070784', '-105.23002')
('40.070783', '-105.23002')
('40.070782', '-105.23002')
('40.070781', '-105.23002')
('40.070780', '-105.23002')
('40.070779', '-105.23002')
('40.070778', '-105.23002')
('40.070777', '-105.23002')
('40.070776', '-105.23002')
('40.070775', '-105.23002')
('40.070774', '-105.23002')
('40.070773', '-105.23002')
('40.070772', '-105.23002')
('40.070771', '-105.23002')
('40.070770', '-105.23002')
('40.070769', '-105.23002')
('40.070768', '-105.23002')
('40.070767', '-105.23002')
('40.070766', '-105.23002')
('40.070765', '-105.23002')
('40.070764', '-105.23002')
('40.070763', '-105.23002')
('40.070762', '-105.23002')
('40.070761', '-105.23002')
('40.070760', '-105.23002')
('40.070759', '-105.23002')
('40.070758', '-105.23002')
('40.070757', '-105.23002')
('40.070755', '-105.23002')
('40.070755', '-105.23002')
('40.070755', '-105.23002')
('40.070755', '-105.23002')
('40.070755', '-105.23001')
('40.070755', '-105.23001')
('40.070755', '-105.23001')
('40.070755', '-105.23001')
('40.070755', '-105.23001')
('40.070755', '-105.23001')
('40.070755', '-105.23001')
('40.070755', '-105.23001')
('40.070755', '-105.23001')
('40.070755', '-105.23001')
('40.070755', '-105.23000')
('40.070755', '-105.23000')
('40.070755', '-105.23000')
('40.070755', '-105.23000')
('40.070755', '-105.23000')
('40.070755', '-105.23000')
('40.070755', '-105.23000')
('40.070755', '-105.23000')
('40.070755', '-105.23000')
('40.070755', '-105.23000')
('40.070755', '-105.22999')
('40.070755', '-105.22999')
('40.070755', '-105.22999')
('40.070755', '-105.22999')
('40.070755', '-105.22999')
('40.070755', '-105.22999')
('40.070755', '-105.22999')
('40.070755', '-105.22999')
('40.070755', '-105.22999')
('40.070755', '-105.22999')
('40.070755', '-105.22998')
('40.070755', '-105.22998')
('40.070755', '-105.22998')
('40.070755', '-105.22998')
('40.070755', '-105.22998')
('40.070755', '-105.22998')
('40.070755', '-105.22998')
('40.070755', '-105.22998')
('40.070755', '-105.22998')
('40.070755', '-105.22998')
('40.070755', '-105.22997')
('40.070755', '-105.22997')
('40.070755', '-105.22997')
('40.070755', '-105.22997')
('40.070755', '-105.22997')
('40.070755', '-105.22997')
('40.070755', '-105.22997')
('40.070755', '-105.22997')
('40.070755', '-105.22997')
('40.070755', '-105.22997')
('40.070755', '-105.22996')
('40.070755', '-105.22996')
('40.070755', '-105.22996')
('40.070755', '-105.22996')
('40.070755', '-105.22996')
('40.070755', '-105.22996')
('40.070755', '-105.22996')
('40.070755', '-105.22996')
('40.070755', '-105.22996')
('40.070755', '-105.22996')
('40.070755', '-105.22995')
('40.070755', '-105.22995')
('40.070755', '-105.22995')
('40.070755', '-105.22995')
('40.070755', '-105.22995')
('40.070755', '-105.22995')
('40.070755', '-105.22995')
('40.070755', '-105.22995')
('40.070755', '-105.22995')
('40.070755', '-105.22995')
('40.070755', '-105.22994')
('40.070755', '-105.22994')
('40.070755', '-105.22994')
('40.070755', '-105.22994')
('40.070755', '-105.22994')
('40.070755', '-105.22994')
('40.070755', '-105.22994')
('40.070755', '-105.22994')
('40.070755', '-105.22994')
('40.070755', '-105.22994')
('40.070755', '-105.22993')
('40.070755', '-105.22993')
('40.070755', '-105.22993')
('40.070755', '-105.22993')
('40.070755', '-105.22993')
('40.070755', '-105.22993')
('40.070755', '-105.22993')
('40.070755', '-105.22993')
('40.070755', '-105.22993')
('40.070755', '-105.22993')
('40.070755', '-105.22992')
('40.070755', '-105.22992')
('40.070755', '-105.22992')
('40.070755', '-105.22992')
('40.070755', '-105.22992')
('40.070755', '-105.22992')
('40.070755', '-105.22992')
('40.070755', '-105.22992')
('40.070755', '-105.22992')
('40.070755', '-105.22992')
('40.070755', '-105.22991')
('40.070755', '-105.22991')
('40.070755', '-105.22991')
('40.070755', '-105.22991')
('40.070755', '-105.22991')
('40.070755', '-105.22991')
('40.070755', '-105.22991')
('40.070755', '-105.22991')
('40.070755', '-105.22991')
('40.070755', '-105.22991')
('40.070755', '-105.22990')
('40.070755', '-105.22990')
('40.070755', '-105.22990')
('40.070755', '-105.22990')
('40.070755', '-105.22990')
('40.070755', '-105.22990')
('40.070755', '-105.22990')
('40.070755', '-105.22990')
('40.070755', '-105.22990')
('40.070755', '-105.22990')
('40.070755', '-105.22989')
('40.070755', '-105.22989')
('40.070755', '-105.22989')
('40.070755', '-105.22989')
('40.070755', '-105.22989')
('40.070755', '-105.22989')
('40.070755', '-105.22989')
('40.070755', '-105.22989')
('40.070755', '-105.22989')
('40.070755', '-105.22989')
('40.070755', '-105.22988')
('40.070755', '-105.22988')
('40.070755', '-105.22988')
('40.070755', '-105.22988')
('40.070755', '-105.22988')
('40.070755', '-105.22988')
('40.070755', '-105.22988')
('40.070755', '-105.22988')
